path,product,global,stains,mold,wilt,color
data\Dataset\Fresh\FreshApple\freshApple (204).jpg,manzana,3,0.00031887755102040814,0.2162173845127492,0.5833066038915566,0.2175447137467386
data\Dataset\Fresh\FreshApple\freshApple (131).jpg,manzana,3,0.1429169323979592,0.9923993925057268,0.6258699573579432,0.47396249438797294
data\Dataset\Fresh\FreshApple\freshApple (275).jpg,manzana,3,0.36764588647959184,0.057304394221117175,0.4590049300970389,0.4616417489087445
data\Dataset\Fresh\FreshApple\freshApple (194).jpg,manzana,3,0.0,0.15585481092166226,0.6883606567627051,0.09257081881494031
data\Dataset\Fresh\FreshApple\freshApple (247).jpg,manzana,3,0.07774633290816327,0.03540433703616776,0.63132956307523,0.1140839911412673
data\Dataset\Fresh\FreshApple\freshApple (314).jpg,manzana,3,0.012216996173469387,1.0177801317451698,0.2781627494747899,0.2159112504138277
data\Dataset\Fresh\FreshApple\freshApple (191).jpg,manzana,3,0.2259845344387755,0.13253758788833714,0.624367950305122,0.3621779363408244
data\Dataset\Fresh\FreshApple\freshApple (294).jpg,manzana,2,0.07081074617346939,0.03751573315842457,0.6249898396858744,0.10926592658012889
data\Dataset\Fresh\FreshApple\freshApple (201).jpg,manzana,3,0.0014150191326530613,0.1759404132768344,0.5882227891156462,0.10352446356193815
data\Dataset\Fresh\FreshApple\freshApple (219).jpg,manzana,3,0.4133848852040816,0.059844397516659716,0.46623368097238893,0.44335101771958463
data\Dataset\Fresh\FreshApple\freshApple (238).jpg,manzana,3,0.1526825573979592,0.033800715777338765,0.4893959146158463,0.2873697574157287
data\Dataset\Fresh\FreshApple\freshApple (184).jpg,manzana,3,0.10377471301020408,1.719370995542994,0.5585968762505003,0.37525332113167836
data\Dataset\Fresh\FreshApple\freshApple (112).jpg,manzana,3,0.0,0.08373440021735734,0.7276623930822328,0.1338451552001394
data\Dataset\Fresh\FreshApple\freshApple (180).jpg,manzana,3,0.14488998724489796,1.0543436714753862,0.577805262730092,0.410252021903517
data\Dataset\Fresh\FreshApple\freshApple (243).jpg,manzana,3,0.10706313775510204,0.033020386987802935,0.4915190294867947,0.31049664772001173
data\Dataset\Fresh\FreshApple\freshApple (271).jpg,manzana,3,0.0999282525510204,0.7391236452180513,0.6408442283163265,0.11094640481935106
data\Dataset\Fresh\FreshApple\freshApple (299).jpg,manzana,3,0.2674984056122449,0.054540323749178415,0.467236113195278,0.3914004735281571
data\Dataset\Fresh\FreshApple\freshApple (266).jpg,manzana,3,0.39255819515306123,0.0555012118054747,0.42930047018807527,0.4334035249901105
data\Dataset\Fresh\FreshApple\freshApple (186).jpg,manzana,3,0.036989795918367346,2.6375245775431706,0.7517610950630252,0.33344729784834054
data\Dataset\Fresh\FreshApple\freshApple (216).jpg,manzana,2,0.1975047831632653,0.0425071277658128,0.44682849702380945,0.15907536374241923
data\Dataset\Fresh\FreshApple\freshApple (173).jpg,manzana,3,0.03493702168367347,0.008840754803296479,0.7245722507753101,0.11595904407738501
data\Dataset\Fresh\FreshApple\freshApple (298).jpg,manzana,3,0.4752869897959184,0.05622599164588609,0.4102372980442177,0.44600656807068095
data\Dataset\Fresh\FreshApple\freshApple (161).jpg,manzana,3,0.0,0.06271276280960407,0.690180681647659,0.10714633005054099
data\Dataset\Fresh\FreshApple\freshApple (205).jpg,manzana,3,0.04922672193877551,0.11327956447895246,0.6262765262354942,0.47615135786896823
data\Dataset\Fresh\FreshApple\freshApple (176).jpg,manzana,3,0.0,0.005318698115271362,0.6881310336634654,0.215253111510983
data\Dataset\Fresh\FreshApple\freshApple (227).jpg,manzana,3,0.09185666454081633,0.034755365399110824,0.6464583489645859,0.10522751198971157
data\Dataset\Fresh\FreshApple\freshApple (157).jpg,manzana,3,0.30357142857142855,0.5080401307026182,0.7847320178071229,0.14823868878042745
data\Dataset\Fresh\FreshApple\freshApple (277).jpg,manzana,3,0.21647799744897958,0.2955085697054913,0.7686845050520208,0.20415708489271486
data\Dataset\Fresh\FreshApple\freshApple (158).jpg,manzana,3,0.14602598852040816,0.9101346153023342,0.668695837710084,0.15435872563942524
data\Dataset\Fresh\FreshApple\freshApple (310).jpg,manzana,3,0.003288424744897959,0.9514932968663158,0.7035819015106042,0.10684744181134752
data\Dataset\Fresh\FreshApple\freshApple (295).jpg,manzana,3,0.2312858737244898,0.05046180413654078,0.485437299919968,0.3598843257758579
data\Dataset\Fresh\FreshApple\freshApple (162).jpg,manzana,3,0.07639110331632654,0.191296903571304,0.6558939200680272,0.15769352241505016
data\Dataset\Fresh\FreshApple\freshApple (171).jpg,manzana,2,1.992984693877551e-05,0.0072301570756492,0.7179081007402961,0.11164251529508634
data\Dataset\Fresh\FreshApple\freshApple (178).jpg,manzana,2,0.0,0.006676577603404894,0.6959472070078031,0.11000900479286985
data\Dataset\Fresh\FreshApple\freshApple (317).jpg,manzana,3,0.001175860969387755,1.483246278086785,0.7255695246848739,0.10983226242633833
data\Dataset\Fresh\FreshApple\freshApple (257).jpg,manzana,3,0.10411352040816327,0.033976891516844764,0.6528147196378551,0.10752867124123529
data\Dataset\Fresh\FreshApple\freshApple (165).jpg,manzana,3,0.04494180484693878,0.1184012412516488,0.6569066689175671,0.47642351292968
data\Dataset\Fresh\FreshApple\freshApple (177).jpg,manzana,3,0.0042251275510204085,0.09423092099578614,0.6579007384203681,0.2314282581556125
data\Dataset\Fresh\FreshApple\freshApple (290).jpg,manzana,3,0.4163145727040816,0.05890546352691523,0.39699004601840737,0.2257706008942449
data\Dataset\Fresh\FreshApple\freshApple (223).jpg,manzana,3,0.4104153380102041,0.05590807205575151,0.4369784632603042,0.4326613331903039
data\Dataset\Fresh\FreshApple\freshApple (166).jpg,manzana,3,0.00025908801020408165,0.11859394913958987,0.709725843462385,0.3004918731865736
data\Dataset\Fresh\FreshApple\freshApple (280).jpg,manzana,2,0.2255859375,0.048484639292506064,0.42787998011704675,0.15574273995026852
